BINANCE:WBTCUSDT
BINANCE:BTCBUSDT
BINANCE:HBTCUSDT
BINANCE:SBTCUSDT
BINANCE:BTCSTUSDT
BINANCE:PBTCUSDT
BINANCE:OBTCUSDT
BINANCE:TBTCUSDT
BINANCE:MBTCUSDT
BINANCE:YFBTCUSDT
BINANCE:BTC++USDT
BINANCE:IMBTCUSDT
BINANCE:BTCTUSDT
BINANCE:MYBTCUSDT
BINANCE:BABYBITCUSDT
