BINANCE:STETHUSDT,
BINANCE:AETHCUSDT,
BINANCE:SETH2USDT,
BINANCE:CRETH2USDT,
BINANCE:STETHUSDT,
BINANCE:BETHUSDT,
BINANCE:WEIUPUSDT,
