BINANCE:SRMUSDT
BINANCE:FIDAUSDT
BINANCE:OXYUSDT
BINANCE:ATLASUSDT
BINANCE:POLISUSDT
BINANCE:SLRSUSDT
BINANCE:MERUSDT
BINANCE:UBXTUSDT
BINANCE:HGETUSDT
