BINANCE:FTTUSDT
BINANCE:SNXUSDT
BINANCE:SRMUSDT
BINANCE:DYDXUSDT
BINANCE:PERPUSDT
BINANCE:UMAUSDT
BINANCE:XPRTUSDT
BINANCE:INJUSDT
BINANCE:MIRUSDT
BINANCE:ETH2X-FLIUSDT
BINANCE:STPTUSDT
BINANCE:LINAUSDT
BINANCE:DDXUSDT
BINANCE:BONDUSDT
BINANCE:DNTUSDT
BINANCE:MCBUSDT
BINANCE:HEGICUSDT
BINANCE:FSTUSDT
BINANCE:DFUSDT
BINANCE:VEGAUSDT
BINANCE:DERIUSDT
BINANCE:PENDLEUSDT
BINANCE:PREMIAUSDT
BINANCE:MATTERUSDT
BINANCE:SWTHUSDT
BINANCE:GOVIUSDT
BINANCE:OPIUMUSDT
BINANCE:DAFIUSDT
BINANCE:SIUSDT
BINANCE:KALAUSDT
BINANCE:JRTUSDT
BINANCE:STRPUSDT
BINANCE:DOWSUSDT
BINANCE:GDTUSDT
BINANCE:PTFUSDT
BINANCE:HGETUSDT
BINANCE:OILUSDT
BINANCE:WHITEUSDT
BINANCE:FOREXUSDT
BINANCE:SAKEUSDT
BINANCE:DGTXUSDT
BINANCE:AUCUSDT
BINANCE:LIENUSDT
BINANCE:PLUTUSDT
BINANCE:KLTUSDT
