BINANCE:ZCXUSDT
BINANCE:SDAOUSDT
BINANCE:RINUSDT
BINANCE:SMTUSDT
BINANCE:REALMUSDT
BINANCE:CPHRUSDT
BINANCE:UFARMUSDT
BINANCE:PRXYUSDT
BINANCE:BURPUSDT
BINANCE:BXXUSDT
BINANCE:D11USDT
BINANCE:CBDUSDT
BINANCE:ALMUSDT
BINANCE:SOMEUSDT
BINANCE:IAGUSDT
