BINANCE:LINKUSDT
BINANCE:GRTUSDT
BINANCE:AAVEUSDT
BINANCE:SUSHIUSDT
BINANCE:CELOUSDT
BINANCE:CRVUSDT
BINANCE:ZRXUSDT
BINANCE:UTKUSDT
BINANCE:RAMPUSDT
BINANCE:PRQUSDT
BINANCE:UBEUSDT
BINANCE:TRSTUSDT
BINANCE:COINUSDT
BINANCE:POOFUSDT
BINANCE:SYMMUSDT
