BINANCE:BTCUSDT
BINANCE:XRPUSDT
BINANCE:DOGEUSDT
BINANCE:LTCUSDT
BINANCE:ALGOUSDT
BINANCE:BCHUSDT
BINANCE:XLMUSDT
BINANCE:XMRUSDT
BINANCE:XECUSDT
BINANCE:BSVUSDT
BINANCE:DASHUSDT
BINANCE:ZECUSDT
BINANCE:RVNUSDT
BINANCE:DCRUSDT
BINANCE:BTGUSDT
BINANCE:ZENUSDT
BINANCE:NANOUSDT
BINANCE:DENTUSDT
BINANCE:DESOUSDT
BINANCE:BCHAUSDT
BINANCE:AIRUSDT
BINANCE:CCXXUSDT
BINANCE:ECCUSDT
BINANCE:INOUSDT
BINANCE:VTHOUSDT
BINANCE:PUNDIXUSDT
BINANCE:BCDUSDT
BINANCE:SAPPUSDT
BINANCE:ETNUSDT
BINANCE:STEEMUSDT
BINANCE:UQCUSDT
BINANCE:WHALEUSDT
BINANCE:BDXUSDT
BINANCE:MISTUSDT
BINANCE:MBXUSDT
BINANCE:METUSDT
BINANCE:GYROUSDT
BINANCE:GRINUSDT
BINANCE:TACUSDT
BINANCE:SPAUSDT
BINANCE:USNBTUSDT
BINANCE:GHOSTUSDT
BINANCE:XAURUSDT
BINANCE:HGTUSDT
BINANCE:EQUSDT
BINANCE:DSFRUSDT
BINANCE:CUEXUSDT
BINANCE:POWUSDT
BINANCE:RTCUSDT
BINANCE:RVLUSDT
