BINANCE:SRMUSDT,
BINANCE:XPRTUSDT,
BINANCE:FIDAUSDT,
BINANCE:OXYUSDT,
BINANCE:AKTUSDT,
BINANCE:TVKUSDT,
BINANCE:FISUSDT,
BINANCE:SWINGBYUSDT,
BINANCE:DOSUSDT,
BINANCE:UATUSDT,
BINANCE:DUOUSDT,
BINANCE:DEEPUSDT,
